id,src,ref,hyp,seq_logprob,tng_count,rt,chrf2,comet,label
54,"In the other , I was enmeshed in lives that were precarious , tragically scarred by violence , drug abuse and isolation .","Trong thế giới kia , tôi vướng mắc trong những mảnh đời bấp bênh , bị tổn thương bi thảm vì bạo lực , nghiện ngập và cô quạnh .","Trong một cuộc sống khác , tôi đã bị bỏ qua bởi bạo lực , thuốc lá và cô lập .",-1.0831855535507202,0,1,43.42956481783242,,
57,"And I was catapulted from one piece of the jigsaw to another , and their edges didn &apos;t fit .","Và tôi bị phóng từ mảnh ghép xếp hình này sang mảnh khác , nhưng chúng không ghép vừa với nhau .","Và tôi bị đào tạo bởi một miếng ván chơi khác , và rìa của chúng không phù hợp với nhau .",-1.1497116088867188,0,1,43.42956481783242,,
58,"Tan Le , anonymous Footscray resident , was now Tan Le , refugee and social activist , invited to speak in venues she had never heard of and into homes whose existence she could never have imagined .","Tan Le , cư dân vô danh ở khu Footscray , giờ là Tan Le , người tị nạn và hoạt động xã hội , được mời nói chuyện ở các địa điểm cô chưa bao giờ nghe tới được mời vào những nhà mà cô chưa bao giờ tưởng tượng được là có tồn tại .","Leja , những khu dân cư nặc danh , bây giờ là Leja , người tị nạn và nhà hoạt động xã hội , mời đến nói chuyện ở những địa điểm mà cô chưa bao giờ nghe đến và vào những ngôi nhà mà cô chưa bao giờ có thể tưởng tượng .",-0.9893734455108644,0,1,43.42956481783242,,
60,I didn &apos;t know how to use the cutlery .,Tôi không biết cách dùng thìa dĩa .,Tôi không biết làm thế nào để sử dụng chiếc máy cắt giảm .,-1.0685136318206787,0,1,43.42956481783242,,
65,She reminded me that I was now the same age she had been when we boarded the boat .,Mẹ nhắc tôi là bấy giờ tôi cũng bằng tuổi mẹ khi chúng tôi lên thuyền .,Bà ấy nhắc tôi rằng bây giờ cô ấy đã cùng lúc khi chúng tôi lên thuyền .,-1.1466972827911377,0,1,43.42956481783242,,
68,So I spoke out on youth unemployment and education and the neglect of the marginalized and the disenfranchised .,"Thế là tôi nói về nạn thanh niên thất nghiệp và giáo dục , và về những người bị xã hội cách li , bị mất quyền lợi và bỏ rơi .",Vì vậy tôi đã nói ra khỏi sự thất nghiệp trẻ tuổi và giáo dục và bỏ rơi và không có nước thương mại .,-1.2602263689041138,0,1,43.42956481783242,,
69,"And the more candidly I spoke , the more I was asked to speak .","Và tôi càng nói thật lòng , tôi càng được mời nói nhiều .","Và tôi nói nhiều hơn , tôi càng được yêu cầu nói chuyện .",-1.1232414245605469,0,1,43.42956481783242,,
72,There had to be another piece of the jigsaw .,Bức xếp hình cần một mảnh nữa .,Đây phải là một mảnh khác của trò chơi bóng rổ .,-1.2654972076416016,0,1,43.42956481783242,,
73,"And I realized at the same time that it is okay to be an outsider , a recent arrival , new on the scene -- and not just okay , but something to be thankful for , perhaps a gift from the boat .","Và cùng lúc tôi nhận ra rằng làm kẻ ngoại đạo cũng được thội , người mới đến , mới hiện diện -- và không chỉ là được thôi , mà là một điều ta cần biết ơn , có thể là một món quà từ chiếc thuyền .","Và tôi nhận ra rằng cùng lúc đó nó không ổn khi trở thành một người ngoài đường , một chuyến du lịch gần đây , một chuyến du lịch mới , một chuyến du lịch mới , và không ổn , nhưng điều gì đó là cảm ơn , có lẽ là món quà từ thuyền .",-1.182153582572937,2,1,43.42956481783242,,
76,Possibilities that would not have been allowed were outrageously encouraged .,Những khả năng mà trước đây sẽ không được cho phép được khuyến khích rất nhiều .,Những vấn đề mà sẽ không được phép được khuyến khích .,-1.086546540260315,0,1,43.42956481783242,,
92,Her mother raised her alone .,Mẹ của bà một mình nuôi bà lớn .,Mẹ cô ấy nuôi cô ấy một mình .,-1.0863381624221802,0,1,43.42956481783242,,
96,I was taking a shower in a hotel room in Sydney the moment she died 600 miles away in Melbourne .,"Tôi đang tắm trong một phòng khách sạn ở Sydney vào thời khắc bà mất cách đó 600 dặm , ở Melbourne .",Tôi đã lấy một tắm trong phòng khách sạn ở Syyney khoảnh khắc mà cô ấy đã chết 600 dặm ở Mela .,-1.015594482421875,0,1,43.42956481783242,,
98,I knew she had come to say goodbye .,tôi biết bà đã đến để tạm biệt tôi .,Tôi biết cô ấy phải nói lời tạm biệt .,-0.995444357395172,0,1,43.42956481783242,,
102,At midnight the monk came and told us he had to close the casket .,Lúc nửa đêm một nhà sư đến và bảo chúng tôi là ông phải đóng quan tài rồi .,"Vào buổi tối nay , các nhà sư đã đến và nói với chúng tôi rằng anh ta phải đóng cửa .",-1.1596001386642456,0,1,43.42956481783242,,
109,Defeat would have come too easily .,Thất bại sẽ đến một cách dễ dàng .,Những hạt lúa mì sẽ quá dễ dàng .,-1.3539263010025024,0,1,43.42956481783242,,
111,Who could ever wish it on their own ?,Có ai muốn con của họ phải trải qua con thuyền ấy ?,Ai có thể ước nó trên chính họ không ?,-1.0523535013198853,0,1,43.42956481783242,,
113,"Can I give them a bow in their lives , dipping bravely into each wave , the unperturbed and steady beat of the engine , the vast horizon that guarantees nothing ?","Liệu tôi có thể cho con tôi một mạn thuyền trong cuộc đời , mạnh mẽ chìm vào mỗi đợt sóng , tiếng động cơ đều đều không đứt , chân trời mênh mông không hứa hẹn điều gì cả ?","Liệu tôi có thể cho họ một cái cung trong cuộc sống của họ , đâm vào mỗi sóng , một cơn đau đớn và thay vì họ đánh bại động cơ , đường chân trời lớn đảm bảo không có gì ?",-1.0568320751190186,0,1,43.42956481783242,,
116,"And also , Tan &apos;s mother is here today in the fourth or fifth row .","Và vâng , mẹ của chị Tan hôm nay cũng ở đây ở hàng ghế thứ tư hay năm .",Và mẹ tôi cũng ở đây ngày hôm nay ở hàng thứ tư hay hàng năm .,-0.9737600684165956,0,1,43.42956481783242,,
120,"And being here at TED and seeing the stimulation , hearing it , has been very , very energizing to me .",Và tôi đến đây tôi lại được khuyến khích và rồi tôi lắng nghe chính điều này đã tiếp thêm nghị lực cho tôi rất nhiều,"Và đang ở TED và thấy kích thích , thính giác , nó đã rất rất , rất nhiều sức mạnh đối với tôi .",-0.9896515607833862,0,1,43.42956481783242,,
137,She was born in the 1880 &apos;s and the experience of slavery very much shaped the way she saw the world .,"và bà sinh vào những năm 1880 và phải niếm trải những tháng ngày làm nô lệ , chính điều đó đã định hình nên cách bà nhìn nhận cuộc đời .",Bà được sinh ra trong kinh nghiệm nô lệ năm 2005 và trải nghiệm của chế độ nô lệ rất hình thành cách cô ấy nhìn thế giới .,-1.1093757152557373,0,1,43.42956481783242,,
140,And she &apos;d squeeze me so tight I could barely breathe and then she &apos;d let me go .,bà ôm tôi chặt đến mức tôi thấy khó thở rồi sau đó bà để tôi đi,Và cô ấy gắn tôi chặt chặt chẽ để tôi không thể thở và sau đó cô ấy sẽ để tôi đi .,-1.1530195474624634,0,1,43.42956481783242,,
154,I never will forget it .,Và tôi sẽ không bao giờ quên được .,Tôi sẽ không bao giờ quên nó .,-0.3901312947273254,0,2,43.42956481783242,,
156,"I said , &quot; Okay , Mama . &quot;",Tôi đáp &quot; dạ được thôi ạ &quot;,"Tôi nói , &quot; Được rồi . &quot;",-0.4034909904003143,0,2,43.42956481783242,,
161,I will never forget it .,Tôi sẽ không bao giờ quên lời bà .,Tôi sẽ không bao giờ quên nó .,-0.381127655506134,0,2,43.42956481783242,,
163,"I said , &quot; Okay , Mama . &quot;",Tôi nói &quot; dạ được ạ &quot;,"Tôi nói , &quot; Được rồi . &quot;",-0.4034909904003143,0,2,43.42956481783242,,
173,And we were kind of just out there doing the stuff we crazily did .,đại loại là chúng tôi đã ở ngoài đó làm những thứ điên cuồng,Và chúng tôi đã làm những việc mà chúng tôi làm một cách điên rồ .,-1.0681058168411257,0,1,43.42956481783242,,
174,"And he had a sip of this beer and he gave some to my sister and she had some , and they offered it to me .",anh ấy uống xong một ngụm bia thì đưa cho tôi và em gái và họ đưa bia cho tôi .,"Và anh ta có một chiếc cốc bia này và anh ta cho chị gái tôi và cô ấy có một số , và họ đề nghị nó với tôi .",-1.0165942907333374,0,1,43.42956481783242,,
183,"He said , &quot; Oh , Mama tells all the grandkids that they &apos;re special . &quot;",Anh trả lời &quot; Bà nói với tất cả những đứa cháu rằng chúng đặc biệt &quot;,"Anh ta nói , &quot; Ồ , các cô đơn nói với tất cả các thế hệ mà chúng đặc biệt . &quot;",-1.0120137929916382,0,1,43.42956481783242,,
189,I don &apos;t say that because I think that &apos;s virtuous ; I say that because there is power in identity .,"Không phải tôi nói ra vì tôi nghĩ tôi làm thế là đúng , là đạo đức ; mà tôi muốn nói đến sức mạnh của nhân cách con người .","Tôi không nói điều đó bởi vì tôi nghĩ đó là điều tốt đẹp , tôi nói đó bởi vì có sức mạnh trong danh tính .",-0.9914550185203552,0,1,43.42956481783242,,
193,My grandfather was in prison during prohibition .,"Ông ngoại tôi đã ở tù suốt thời kỳ cấm nấu và bán rượu ,",Ông nội tôi đang ở trong tù trong quá trình cấm .,-0.9769845604896544,0,1,43.42956481783242,,
194,My male uncles died of alcohol-related diseases .,cậu tôi chết vì bệnh do rượu gây ra .,Con đực tôi đã chết vì bệnh tương quan .,-1.1967517137527466,0,1,43.42956481783242,,
201,We have seven million people on probation and parole .,và có 7 triệu người bị quản chế hoặc được tạm tha,Chúng ta có 7 triệu người đang theo dõi và cải thiện .,-1.343857765197754,0,1,43.42956481783242,,
204,"One out of three black men between the ages of 18 and 30 is in jail , in prison , on probation or parole .","cứ 3 người đàn ông da đen ở độ tuổi từ 18 đến 30 thì có một người đang trong tù , bị quản chế hoặc được tạm tha .","Một trong ba người đàn ông da đen giữa độ tuổi 18 và 30 người trong tù , trong nhà tù , về những người đàn ông hay những người da đen .",-1.2237114906311035,0,1,43.42956481783242,,
216,We &apos;re actually projecting in another 10 years the level of disenfranchisement will be as high as it &apos;s been since prior to the passage of the Voting Rights Act .,Chúng tôi dự đoán rằng thêm 10 năm nữa mức độ tước quyền công dân sẽ lại nặng như trước khi Đạo Luật Bầu Cử được thông qua,Chúng tôi thực sự đang dự án trong 10 năm nữa ở một mức độ khác của tổ chức thương mại sẽ cao như vậy từ trước đến đoạn băng của Đúng vậy .,-1.2878671884536743,0,1,43.42956481783242,,
222,And we &apos;re actually doing some litigation .,chúng ta thực ra còn đang thực hiện những vụ kiện tụng trẻ em,Và chúng tôi thực sự đang làm một vài khoáng .,-1.0021358728408811,0,1,43.42956481783242,,
230,"I mean , it &apos;s fascinating .","ý tôi là , thật khó tin !","Ý tôi là , nó rất hấp dẫn .",-0.5545032620429993,0,2,43.42956481783242,,
232,"For every nine people who have been executed , we &apos;ve actually identified one innocent person who &apos;s been exonerated and released from death row .",cứ 9 người bị kết án tử chúng tôi tìm thấy một người vô tội được giải tội và thả khỏi tử tù,"Với 9 người đã bị hành xử , chúng tôi đã xác định một người vô tội đã bị đuổi và phát hiện ra khỏi hàng ghế tử vong .",-1.0176151990890503,0,1,43.42956481783242,,
234,"I mean , it &apos;s fascinating .",thật sự khó mà tưởng tượng nỗi,"Ý tôi là , nó rất hấp dẫn .",-0.5545032620429993,0,2,43.42956481783242,,
265,"It would be unconscionable for us to , in an intentional and deliberate way , set about executing people . &quot;",việc làm đó thật vô lương tâm dù vô tình hay cố ý cũng không nên tử hình ai đó &quot;,"Nó sẽ không hợp lý cho chúng ta , theo một cách chủ nghĩa chủ yếu và cố ý , đặt về những người bị bỏ qua . &quot;",-1.2517439126968384,0,1,43.42956481783242,,
269,It would be unconscionable .,Như thế quá vô lương tâm,Nó sẽ không có khả năng .,-1.220989465713501,0,1,43.42956481783242,,
270,"And yet , in this country , in the states of the Old South , we execute people -- where you &apos;re 11 times more likely to get the death penalty if the victim is white than if the victim is black , 22 times more likely to get it if the defendant is black and the victim is white -- in the very states where there are buried in the ground the bodies of people who were lynched .","Ở đất nước của chúng ta , tại những bang Miền Nam lâu đời người ta vẫn thực thi án tử hình bạn có khả năng bị kết án tử hình cao gấp 11 lần nếu nạn nhân là người da trắng so với nạn nhân là người da đen và gấp 22 lần nếu bị đơn là người da đen còn nạn nhân là người da trắng chính những tiểu bang này đã chôn biết bao thi thể của người bị xử tử","Tuy nhiên , ở đất nước này , ở các bang cũ , chúng tôi đã hành động mọi người -- nơi mà bạn có 11 lần để có được ca tử vong nếu nạn nhân da trắng hơn là nạn nhân da đen , 22 lần để có được nó nếu nạn nhân bị đánh lừa đen , nạn nhân đen và nạn nhân da đen -- nơi mà có thể bị chôn vùi trong cơ thể người bị chôn vùi .",-1.1438502073287964,0,1,43.42956481783242,,
277,"But ultimately , those realities are shadowed by suffering , abuse , degradation , marginalization .","Nhưng cuối cùng , thực tế này vẫn bị che khuất bởi nỗi thống khổ , sự lạm dụng , thoái hoá đạo đức và xem nhẹ nhân cách .","Nhưng cuối cùng , những thực tế đó được chiếu bởi sự đau đớn , lạm dụng , suy giảm .",-1.019770264625549,0,1,43.42956481783242,,
283,"We do . As rational as we are , as committed to intellect as we are .","Vâng . Chúng ta có lý , chúng ta cống hiến cho trí tuệ .","Chúng ta làm . Lý trí là chúng ta , như là chúng ta đã cam kết với trí tuệ như chúng ta .",-1.1488378047943115,0,1,43.42956481783242,,
293,"I had the great privilege , when I was a young lawyer , of meeting Rosa Parks .","Tôi có được một đặc ân rất lớn , khi tôi còn là một luật sư non nớt , tôi đã gặp Rosa Park","Tôi có một đặc quyền lớn , khi tôi là một luật sư trẻ , cuộc gặp gỡ các công viên tham gia .",-1.1162796020507812,0,1,43.42956481783242,,
294,"And Ms. Parks used to come back to Montgomery every now and then , and she would get together with two of her dearest friends , these older women , Johnnie Carr who was the organizer of the Montgomery bus boycott -- amazing African-American woman -- and Virginia Durr , a white woman , whose husband , Clifford Durr , represented Dr. King .","Bà Park từng đến Montgomery rất nhiều lần và bà đi cùng với 2 người bạn thân nhất của mình Họ là Johnnie Carr , người tổ chức chiến dịch tẩy chay trên xe buýt tại Montgomery bà là người phụ nữ Mỹ gốc Phi tuyệt vời và Virginia Durr , một phụ nữ da trắng mà chồng bà chính là Clifford Durr , luật sư đại diện cho Tiến sĩ King","Và các công viên viên công viên đã sử dụng để quay trở lại Montyyyynyyyyyyyy , và sau đó , cô ấy sẽ cùng với hai người bạn thân nhất của mình , những người phụ nữ già nhất , John Cary , người phụ nữ này là nhà tổ chức của nhà tổ chức bận rộn -- một phụ nữ Mỹ gốc Phi -- một người phụ nữ da trắng , người chồng , người phụ nữ đó đại diện cho tiến sĩ của mình .",-1.4308419227600098,3,1,43.42956481783242,,
296,"And every now and then Ms. Carr would call me , and she &apos;d say , &quot; Bryan , Ms. Parks is coming to town . We &apos;re going to get together and talk .","cứ mỗi lần như thế , bà Carr sẽ gọi và nói &quot; Này , Bryan , bà Park sẽ đến thị trấn và chúng tôi sẽ cũng đến để nói chuyện","Và bây giờ và sau đó M. Carer sẽ gọi tôi , và cô ấy nói , &quot; Bo , các công viên viên công viên công viên của công viên là đến thành phố . Chúng tôi sẽ đến với nhau và nói chuyện .",-1.0647109746932983,0,1,43.42956481783242,,
301,"And I &apos;d go over there and I would , I would just listen .","Và rồi tôi đến đó , và tôi sẽ chỉ lắng nghe",Và tôi đi đến đó và tôi sẽ lắng nghe .,-1.0323543548583984,0,1,43.42956481783242,,
302,It would be so energizing and so empowering .,việc này thực sự đã tiếp thêm nghị lực cho tôi rất nhiều,Nó sẽ rất năng lượng và sức mạnh .,-1.18915593624115,0,1,43.42956481783242,,
312,We &apos;re trying to end mass incarceration . &quot;,và chấm dứt việc bắt giam diện rộng &quot; .,Chúng tôi đang cố gắng kết thúc việc giam tù . &quot;,-0.995104432106018,0,1,43.42956481783242,,
348,And I put in my motion that there was prosecutorial misconduct and police misconduct and judicial misconduct .,"Tôi trình bày trong đơn kiến nghị rằng đã có sự nhầm lẫn trong công tố , hành vi sai trái của cảnh sát và tư pháp .",Và tôi đã đặt vào chuyển động của tôi rằng có một nhà công viên đánh giá và cảnh sát sai lầm và điều chỉnh sai lầm .,-1.48626971244812,0,1,43.42956481783242,,
354,And I got into my car and I was feeling really overwhelmed -- overwhelmed .,"Tôi bước vào xe , trong lòng cảm thấy rất rất choáng ngợp .",Và tôi đã vào chiếc xe của tôi và tôi cảm thấy rất choáng ngợp .,-0.9953446984291076,0,1,43.42956481783242,,
366,Well I went into the courtroom .,"Tôi đến phòng xử án ,",Tôi đã đi vào phòng xây dựng .,-1.1645963191986084,0,1,43.42956481783242,,
372,and assistant prosecutors and clerk workers .,trợ lý công tố viên và các thư ký bước vào .,và các nhà trợ lý và các nhân viên làm nhân viên .,-1.428758978843689,0,1,43.42956481783242,,
376,He kept pacing back and forth .,Ông cứ đi tới đi lui .,Ông vẫn tiếp tục quay lại và tương tự .,-1.1406874656677246,0,1,43.42956481783242,,
377,"came into the courtroom and sat down behind me , almost at counsel table .","ông bước vào phòng và ngồi phía sau tôi , rất gần bàn luật sư .","Trên toà án và ngồi đằng sau tôi , gần như là một nhà tư vấn .",-0.997065544128418,0,1,43.42956481783242,,
379,And during the break there was a deputy sheriff who was offended that the janitor had come into court .,"Trong lúc giải lao , phó quận trưởng cảnh sát thấy bị xúc phạm vì người canh gác bước vào phòng xử án .","Và trong khi phá vỡ , có một bộ phận trưởng thành , cô ấy đã cảm thấy giận dữ rằng hộ lý đã đến toà án .",-1.2797718048095703,0,1,43.42956481783242,,
388,Thank you very much .,Cảm ơn các bạn rất nhiều .,Xin cảm ơn .,-0.1025823429226875,0,12,43.42956481783242,,
397,And this referendum would propose having those dollars go to law enforcement and safety .,và đợt trưng cầu dân ý này sẽ đưa ra kiến nghị để có tiền để thi hành và đảm bảo tính công bằng của luật pháp .,Và lời đề xuất này sẽ có những đô la đó để thực hiện luật pháp và an toàn .,-1.0878089666366575,0,1,43.42956481783242,,
404,It was this misguided war on drugs .,Mà đây chính là một cuộc chiến chống lại ma tuý .,Đó là chiến tranh sai lầm .,-0.9929584264755248,0,1,43.42956481783242,,
406,And we got carried away with the rhetoric of punishment .,Và chúng ta đã mất đi sự kiểm soát đối với mặt trái của các hình phạt .,Và chúng tôi đã mang theo những lời tuyên bố trừng phạt .,-1.1203603744506836,0,1,43.42956481783242,,
407,"And so we have three strikes laws that put people in prison forever for stealing a bicycle , for low-level property crimes , rather than making them give those resources back to the people who they victimized .","và vì thế , chúng ta có 3 cuộc chiến chống lại việc người ta bị tù chung thân chỉ vì ăn trộm xe đạp hay trộm cấp tài sản mức độ nhẹ thay vì buộc họ trả lại những gì mà họ lấy cho chủ nhân của tài sản đó .","Và vì vậy chúng tôi có ba quy luật cho mọi người trong tù mãi để ăn cắp một chiếc xe đạp , vì những tội ác cấp thấp , hơn là làm cho họ tài nguyên cho những người bị nạn nhân .",-0.9767811894416808,0,1,43.42956481783242,,
413,Thank you so much for coming to TED . Thank you .,Rất cảm ơn anh đã đến với TED . Một lần nữa xin cảm ơn anh .,Xin cảm ơn .,-0.2836639285087585,0,12,43.42956481783242,,
415,And this is about shifting baseline .,về sự dịch chuyển của đường mốc giới,Và đây là sự thay đổi tóm tắt .,-0.9896393418312072,0,1,43.42956481783242,,
419,"And you &apos;d think he was chasing finches , but he wasn &apos;t .","Và bạn nghĩ rằng Ông đến để đuổi bắt Sẻ Núi , nhưng không phải thế .","Và bạn nghĩ rằng anh ta đang đuổi những chiếc lông , nhưng anh ta không phải vậy .",-1.1557084321975708,0,1,43.42956481783242,,
424,Now the fish is on the IUCN Red List .,Hiện tại loại cá này đang nằm trong Danh Sách Đỏ của IUCN .,Bây giờ con cá này nằm trên University .,-1.171716809272766,0,1,43.42956481783242,,
428,The brochures still say it is untouched .,Những tờ rơi quảng cáo vẫn đang thông tin rằng chúng chưa bị chạm đến,Những tờ báo vẫn cho rằng nó không hề được biết đến .,-1.197403907775879,0,1,43.42956481783242,,
446,My third little story is that I was an accomplice in the introduction of trawling in Southeast Asia .,Câu chuyện nho nhỏ thứ 3 của Tôi đó là khi tôi đang là người đồng thực hiện đưa vào giới thiệu phương thức đánh cá kéo lưới từ đuôi thuyền tại Đông Nam Á,Câu chuyện thứ ba của tôi là tôi là một sự đồng ý trong việc giới thiệu sự săn mồi ở Nam Á .,-1.0245535373687744,0,1,43.42956481783242,,
448,"Fish development meant imposing on countries that had already 100,000 fishers to impose on them industrial fishing .","Phát triển ngành đánh bắt cá điều đó có nghĩa là áp đặt lên những quốc gia đó những nước mà đã có 100,000 ngư dân áp đặt ngành công nhiệp đánh bắt cá lên họ",Chính sự phát triển cá voi có nghĩa là áp dụng cho các quốc gia có 100.000 con cá để áp dụng chúng trong công nghiệp cá .,-1.188214898109436,0,1,43.42956481783242,,
449,"And this boat , quite ugly , is called the Mutiara 4 .","Và cái thuyền này đây , khá xấu , được gọi là Mutiara 4 .","Và chiếc thuyền này , khá xấu xí , được gọi là 4 mười Mùa .",-1.1581655740737915,0,1,43.42956481783242,,
480,So you don &apos;t lose abundant animals .,Vậy nên bạn không mất đi những động vật với số lượng phong phú,Vì vậy bạn không mất nhiều động vật .,-0.9752508997917176,0,1,43.42956481783242,,
498,This is a simulation of Chesapeake Bay .,Đây là sự mô phỏng của vịnh Chesapeake .,Đây là một mô phỏng mô phỏng của khu vực Moore .,-1.1639145612716677,0,1,43.42956481783242,,
499,There were gray whales in Chesapeake Bay a long time ago -- 500 years ago .,Rất lâu trước đây ở vịnh Chesapeak có loại cá voi xám 500 năm trước .,Có cá voi màu xám trong khuếch tán một thời gian dài -- 500 năm trước .,-0.9852398633956908,0,1,43.42956481783242,,
504,Thank you very much .,Cám ơn rất nhiều,Xin cảm ơn .,-0.1025823429226875,0,12,43.42956481783242,,
515,Do you know how many choices make it into your nine minute category versus your one hour category ?,Bạn có biết bao nhiêu sự lựa chọn làm bạn mất trong khoảng 9 phút so với 1 tiếng ?,Các bạn có biết bao nhiêu lựa chọn để đưa nó vào trong vòng 9 phút so với nhóm của bạn không ?,-1.0945322513580322,0,1,43.42956481783242,,
523,Thank you .,Cảm ơn .,Xin cảm ơn .,-0.0966122820973396,0,12,43.42956481783242,,
